"","Preço_do_Produto","Unidades_Vendidas","Média_da_Nota_do_Produto","Quantidade_de_Avaliações","Preço_de_Varejo","Média_de_Nota_do_Vendedor","Quantidade_de_Avaliações_do_Vendedor"
"1363",17,1000,4.18,479,75,4.18082879866053,4778
"1364",7,10,1.5,2,68,3.85894206549118,397
"1365",2.8,1000,3.4,78,3,4.01873536299766,1281
"1366",8,50,3.43,7,7,3.97991967871486,249
"1367",5.89,100,4.15,48,5,3.99333333333333,150
"1368",8,1000,3.4,94,7,4.023291043363,5281
"1369",1,100,3.17,6,1,4.16666666666667,30
"1370",8,100,3.86,28,7,4.39032620922385,889
"1371",16,10000,3.87,770,14,4.06632640105635,39381
"1372",1.66,1000,4.21,33,2,4.39320675382695,15221
"1373",6,100,3.4,5,6,3.625,112
"1374",2.71,100,4.33,12,3,4.11458333333333,576
"1375",8,10000,3.7,2441,7,4.06632640105635,39381
"1376",16,5000,4.28,1612,34,4.23090311182634,228676
"1377",5,1000,3.85,279,5,4.04378046578805,11078
"1378",11,5000,4.04,1571,26,4.46535091414609,47476
"1379",6,1000,3.68,895,6,3.99560570071259,25260
"1380",4.88,1000,4,16,25,3.94679091563424,130598
"1381",16,20000,4.27,2859,14,4.38741406663141,18910
"1382",11,1000,3.43,70,75,3.68269230769231,104
"1383",6,1000,3.41,106,34,4.00293542074364,2044
"1384",5,1000,3.64,44,25,3.87073467343873,13979
"1385",6,10000,4.06,1496,10,4.18821534548537,2359
"1386",6,1000,3.15,170,6,4.19760956175299,2510
"1387",14,10000,4.26,2107,139,4.19345661450925,20387
"1388",6,10,2.33,3,33,3.9246774093968,32394
"1389",9,100,4.18,34,17,4.1301867219917,1928
"1390",5,5000,4.1,478,5,4.08967719049308,14095
"1391",7,20000,4.22,2019,6,4.16480414068933,8501
"1392",9,100,4.4,15,11,3.92800945466824,29615
"1393",15,1000,3.5,497,13,4.22870082083215,3533
"1394",7,1000,3.75,68,6,3.93051359516616,331
"1395",13,1000,3.97,289,11,4.06027864657378,7034
"1396",7,100,3.89,27,17,4,88
"1397",4,5000,4.19,999,4,4.30112048545498,225438
"1398",8,1000,3.61,233,7,3.88553776857995,32858
"1399",14,1000,3.27,130,84,4.15075630252101,11900
"1400",8,1000,4.12,155,31,3.80996642516346,28295
"1401",4,5000,4.3,825,26,4.39831043739144,12666
"1402",1.68,100,3.67,12,2,3.95606494746896,1047
"1403",11,10000,4.16,1780,10,4.10902449063593,19436
"1404",6,100,5,2,6,4.03571428571429,28
"1405",5.85,100,3.67,45,43,4.34077079107505,1972
"1406",5.69,1000,3.74,76,10,4.07453416149068,161
"1407",5.71,20000,3.9,4657,84,4.19745869996718,127966
"1408",9,1000,4.3,420,84,4.24619228938601,8404
"1409",12,5000,3.6,518,11,4.12394301820675,13127
"1410",5,20000,4.19,7773,5,4.26000584282793,10269
"1411",9,100,4.5,8,8,3.94522378089512,5988
"1412",8,100,4.05,114,59,3.76623376623377,231
"1413",9,5000,3.75,1017,13,4.05849936413735,2359
"1414",7,1000,3.74,54,13,3.94942161298188,36913
"1415",7,100,3.36,11,6,3.85193013683391,8989
"1416",15,1000,3.88,854,13,3.89369385238682,11354
"1417",8,10000,3.98,1612,8,3.93948159491804,35262
"1418",8,10,4.5,2,7,4.32646328566831,173992
"1419",16,10000,4.25,1524,108,4.20129848510072,90105
"1420",8,5000,4.47,1038,42,4.27486594014876,5781
"1421",9,5000,4.08,1052,8,4.10884906013864,16013
"1422",8,5000,4.3,830,7,4.28967391304348,9200
"1423",9,5000,4.08,1336,8,4.04476919508235,12933
"1424",11,5000,3.56,402,10,3.88007186704596,20037
"1425",3.65,20000,3.93,4215,4,4.1964989059081,4570
"1426",4.67,100,2.88,82,4,4.07936507936508,7497
"1427",11,1000,4.23,474,76,3.91735341899276,33855
"1428",8,1000,3.41,64,7,3.4755838641189,942
"1429",8,1000,4.22,117,9,4.02043470963411,23832
"1430",8,5000,3.6,983,7,4.1310709205446,4921
"1431",12,100,1,1,11,3,3
"1432",8,20000,3.92,3080,7,4.09490467352792,11854
"1433",6,1000,4.45,47,22,3.85517328611181,15812
"1434",8,50,5,2,10,3.8740157480315,127
"1435",2.69,100,5,1,3,4.2477140482128,7218
"1436",1.67,100,3.59,32,2,3.96756756756757,185
"1437",8,100,3,11,7,4.48439667128988,5768
"1438",6,100,3,4,11,4.03286474164134,5264
"1439",8,5000,3.66,581,7,4.00222681724193,12574
"1440",9,5000,3.8,501,8,4.13672316384181,11505
"1441",3,5000,4.17,788,17,4.30398472918158,4191
"1442",3,100,3.63,8,3,4.05616942909761,1086
"1443",2.71,100,4.33,12,3,4.11458333333333,576
"1444",1,50,3.75,4,8,4.17021276595745,47
"1445",11,100,3.96,98,10,4.2767258382643,5070
"1446",6,50,4,4,7,4.16650928548946,139788
"1447",16,100,3.41,27,84,4.0489939637827,9940
"1448",5,5000,3.76,669,5,3.88454364585924,32168
"1449",11,100,2.77,26,10,3.54545454545455,99
"1450",2.72,1000,3.63,116,17,4.17942474916388,37375
"1451",7,1000,4.02,636,7,4.01815713558459,35358
"1452",3.81,1000,3.48,101,4,3.98320158102767,1012
"1453",11,100,4.14,37,10,3.97073070184479,9703
"1454",6,100,3.99,160,6,4.15303099361896,8776
"1455",9,100,3.14,28,34,3.53464673913043,1472
"1456",5,100,4.07,30,48,4.08977573160726,43876
"1457",8,10000,4.3,1858,8,3.99471804416721,19879
"1458",8,100,3.78,45,59,3.87135880592908,58154
"1459",13,100,3.74,54,34,3.98799019607843,4080
"1460",11,100,4.39,23,47,4.36098374322634,7197
"1461",15,5000,3.73,1072,13,3.81863457148786,24095
"1462",11,100,4,29,10,3.92887966129295,24564
"1463",2.81,100,3.5,8,3,4.14695734747171,126370
"1464",6,5000,4.24,1650,17,4.15599639314698,13308
"1465",5.66,1000,4.21,217,5,4.05397179669271,9857
"1466",6,10000,3.75,1238,7,4.05523110295345,5993
"1467",8,50000,3.6,18463,84,3.96826880024918,51369
"1468",7,10000,4.19,1378,9,4.10596705421841,42919
"1469",14,100,5,0,50,3.87204438377879,22711
"1470",1.84,100,3.68,38,2,3.99173553719008,484
"1471",8,1000,4.05,152,7,3.89270386266094,466
"1472",9,10000,4.03,3024,8,4.20861466821886,4295
"1473",7,100,4.46,52,22,4.23647112323784,2199
"1474",5,100,4.67,6,9,4.48663101604278,2805
"1475",3.72,1000,4.29,178,11,4.35017637230027,32318
"1476",3.81,5000,3.74,1444,59,3.93358137664035,139223
"1477",4.93,1000,3.36,83,5,3.86754716981132,10600
"1478",11,10000,4.05,1479,10,3.93638239339752,5816
"1479",6,1000,3.68,895,6,3.99560570071259,25260
"1480",7,50,3,2,33,4.00154626913012,25222
"1481",16,5000,3.34,687,14,3.8535759627592,2363
"1482",8,8,5,0,68,3.91693290734824,626
"1483",9,1000,4.07,201,8,4.15191613679326,5819
"1484",8,100,4.6,10,22,4.23809523809524,63
"1485",8,10000,3.82,1715,11,4.24067658447116,4907
"1486",5,100,3.67,6,41,4.01381287464165,15348
"1487",5,5000,3.51,747,8,4.06953576409643,5019
"1488",14,1000,3.73,445,51,4.01406317611424,4622
"1489",14,1,5,0,14,3.95590828924162,1134
"1490",2.8,100,3.17,6,3,4.25810663764962,4595
"1491",8,10000,3.96,1559,108,4.22460496613995,5316
"1492",11,10,3.33,3,168,3.91489361702128,47
"1493",9,5000,3.47,593,8,3.98132894014278,1821
"1494",8,10000,3.62,2069,7,3.90121605863735,12006
"1495",16,100,3.67,9,88,4.04448164534258,16726
"1496",6,100,3,4,11,4.03286474164134,5264
"1497",7,10000,3.88,2427,6,3.88454364585924,32168
"1498",3.66,20000,4.48,5882,4,4.46230243379734,100789
"1499",7,5000,4.02,1046,50,3.96752014521053,36361
"1500",6,1000,3.61,613,76,4.03037727895458,37956
"1501",4.81,10000,3.84,903,5,3.99865111826647,45964
"1502",8,1000,3.52,118,7,4.10947712418301,612
"1503",8,20000,4.17,3090,7,4.14685729947013,21892
"1504",14,5000,3.94,1863,12,4.10577766637423,31916
"1505",4.67,10000,3.92,2151,4,4.2646585018278,96838
"1506",1.8,1000,4.2,15,2,4.07964375589808,50864
"1507",5.9,5000,3.5,425,5,4.25420795972943,6357
"1508",5,1000,4.64,377,5,4.42252066115702,2904
"1509",12,20000,4.15,5351,11,4.11164702835686,30892
"1510",5,20000,4.07,7753,5,4.28361113655097,43676
"1511",14,1000,4.05,167,43,3.87204438377879,22711
"1512",12,20000,4.17,2477,76,4.12792106060008,151914
"1513",5.84,100,4.04,24,5,3.95681098204857,9470
"1514",13,100,3.22,9,11,3.8018018018018,111
"1515",6,10000,3.96,661,6,4.08967719049308,14095
"1516",9,5000,4.11,283,51,4.00669222029391,80093
"1517",15,20000,4.34,3845,13,4.38741406663141,18910
"1518",8,100,3.5,6,10,3.78632478632479,117
"1519",7,1000,3.67,214,7,4.06236080178174,3592
"1520",8,5000,3.99,219,7,4.04517020066618,12309
"1521",2,100,2.44,9,2,4.0353604689993,26951
"1522",8,1000,3.84,153,11,4.26002673796791,2992
"1523",11,100,3.73,26,49,4.14396551724138,1160
"1524",8,1000,3.5,558,7,4.21695402298851,8352
"1525",2.69,1000,3.32,74,3,3.95854922279793,193
"1526",6,5000,3.71,615,29,4.06906906906907,1998
"1527",8,1000,3.52,118,7,4.10947712418301,612
"1528",5.83,100,3.19,52,64,4.11834918065952,4943
"1529",11,100,4.67,3,17,3.70758405003909,1279
"1530",11,1000,4.34,101,10,4.16500076417545,32715
"1531",14,1000,3.7,511,12,4.05688825069685,47356
"1532",27,50,4.25,12,23,3.93734335839599,399
"1533",4,10,5,0,4,4.25420795972943,6357
"1534",16,10000,3.74,3079,14,4.3104329907398,78616
"1535",11,20000,4.14,5759,18,4.21886629732745,320031
"1536",8,20000,3.61,5756,30,4.10512747452545,73701
"1537",5.77,100,2.9,62,9,4.00293542074364,2044
"1538",11,10000,3.96,666,12,4.12246648793566,9325
"1539",9,1000,3.72,489,8,3.99758976270344,40245
"1540",12,1000,3.94,841,11,4.03286474164134,5264
